
ClientCode, SampleID, PanelCode, SamplingDate (03/04/2025)
DK010,R2SQBKTG4W,APVAB,03/04/2025
DK010,B8E3KBR5Z9,APVAB,03/04/2025
DK010,ZR9GE3DZJR,APVAB,03/04/2025
DK010,JWV7D9L2EK,APVAB,03/04/2025
DK010,6LHM5FGSKF,APVAB,03/04/2025
DK010,DYJQ9Y2M9Q,APVAB,03/04/2025
DK010,QJMR5DXJEP,APVAB,03/04/2025
DK010,45Z7KQTQ9L,APVAB,03/04/2025
DK010,79NEHRSTGY,APVAB,03/04/2025
DK010,VS2Q4KPA9Z,APVAB,03/04/2025

ClientCode, SampleID, PanelCode, SamplingDate (03/04/2025)
DK010,25H8C895HS,APVAB,03/04/2025
DK010,8UYLBNDFQ3,APVAB,03/04/2025
DK010,MZVUVLXH6Y,APVAB,03/04/2025
DK010,VAFJNQB7BL,APVAB,03/04/2025
DK010,9UZ4BFS2R5,APVAB,03/04/2025
DK010,6GD8963PYF,APVAB,03/04/2025
DK010,4XSDVTC39B,APVAB,03/04/2025
DK010,TG8CSW84LJ,APVAB,03/04/2025
DK010,RL5J4672CR,APVAB,03/04/2025
DK010,WCF6J5JBE4,APVAB,03/04/2025
